char	Radical	Four Corner Code	Cangjie input code	Cangjie input code (Chinese)	Hanyu Da Zidian	Kang Xi	Remembering the Traditional Hanzi	RTH keyword	Remembering the Simplified Hanzi	RSH keyword	~
彧	59 彡	5310.0	IKRM	戈大口一	21405.130	0363.140					refined
彨	59 彡		XMBHH	難一月竹竹	20854.101	0363.171					
彩	59 彡	2292.2	BDHHH	月木竹竹竹	20855.030	0363.210	1264	hue	1308	hue	hue, color: Phonosemantic compound. 彡 represents the meaning and 采 represents the sound.
彪	59 彡	2221.2	YUHHH	卜山竹竹竹	42820.110	0363.220					tiger: A tiger's 虎 stripes 彡
彫	59 彡	7222.2	BRHHH	月口竹竹竹	20855.040	0363.230					carve
彬	59 彡	4292.2	DDHH	木木竹竹	20854.150	0363.240	2640	well-mannered	2701	well-mannered	cultivated: Phonosemantic compound. 彡 represents the meaning and 林 represents the sound.
彭	59 彡	4212.2	GTHHH	土廿竹竹竹	20855.060	0364.050	3016	Peng	3006	Peng	name of an ancient country: Depicts the sound (彡) coming from a drum (壴). Based on the original meaning "sound of a drum". The current meaning is a phonetic loan.
彮	59 彡		JRHHH	十口竹竹竹	20856.110	0364.100					
彯	59 彡	1292.2	MFHHH	一火竹竹竹	20856.130	0364.140					
彰	59 彡	0242.2	YJHHH	卜十竹竹竹	20857.010	0364.150	2642	manifest	2703	manifest	clear: Phonosemantic compound. 彡 represents the meaning and 章 represents the sound.
影	59 彡	6292.2	AFHHH	日火竹竹竹	20857.040	0364.190	1263	shadow	1307	shadow	shadow: Phonosemantic compound. 彡 represents the meaning and 景 represents the sound. The 彡 component depicts shadow lines.
彲	59 彡		MPHHH	一心竹竹竹	20858.080	0364.280					
彳	60 彳	2020.2	HO	竹人	20811.010	0365.010					walk: 彳 is the left half of 行, which depicts a street intersection.
彴	60 彳	2722.0	HOPI	竹人心戈	20814.040	0365.060					bridge
彵	60 彳		HOPD	竹人心木	20814.060	0365.070					
彶	60 彳	2724.7	HONHE	竹人弓竹水	20814.050	0365.080					
彷	60 彳	2022.7	HOYHS	竹人卜竹尸	20815.010	0365.130	1929	seemingly			like: Phonosemantic compound. 彳 represents the meaning and 方 represents the sound.
彸	60 彳	2823.2	HOCI	竹人金戈	20814.190	0365.150					restless
役	60 彳	2724.7	HOHNE	竹人竹弓水	20814.230	0365.180	1937	service	1997	service	service: Depicts a person (亻) being controlled by a weapon (殳). Based on the original meaning "to command". The meaning later shifted to "servant" and "service".
彺	60 彳		XHOMG	難竹人一土	20814.070	0365.200					
彻	60 彳	2722	HOPSH	竹人心尸竹	20814.110	0365.211			1992	thorough	penetrate: Phonosemantic compound. 彳 represents the meaning and 切 represents the sound. Simplified form of 徹.
彼	60 彳	2424.7	HODHE	竹人木竹水	20817.100	0365.250	1903	the other	1999	the other	that: Phonosemantic compound. 彳 represents the meaning and 皮 represents the sound.
彽	60 彳	2224.0	HOHPM	竹人竹心一	20817.030	0365.280					variant of 低 U+4F4E
彾	60 彳	2822.7	HOOII	竹人人戈戈	20817.010	0365.290					
彿	60 彳	2522.7	HOLLN	竹人中中弓	20817.080	0365.300	3021	as though			resembling: Phonosemantic compound. 彳 represents the meaning and 弗 represents the sound.
往	60 彳	2021.4	HOYG	竹人卜土	20817.060	0365.320	704	toward	758	toward	go: Phonosemantic compound. 彳 and 止 represent the meaning, and 王 represents the sound.
征	60 彳	2121.1	HOMYM	竹人一卜一	20815.020	0365.370	1930	go on an expedition	1993	solicit	journey: Phonosemantic compound. 彳 represents the meaning and 正 represents the sound. Originally written as 正.
徂	60 彳	2721.0	HOBM	竹人月一	20816.030	0365.390					go
徃	60 彳	2521.0	HOHQM	竹人竹手一	20816.060	0365.411					go: Variant of 往.
径	60 彳	2721.4	HONOM	竹人弓人一	20818.010 20818.020	0365.411			2406	trail	narrow path: Phonosemantic compound. 彳 represents the meaning and 𢀖 represents the sound. Simplified form of 徑.
待	60 彳	2424.1	HOGDI	竹人土木戈	20818.070	0366.050	703	treat	757	treat	wait, stay, treat: Phonosemantic compound. 彳 represents the meaning and 寺 represents the sound.
徆	60 彳	2126.0	HOMCW	竹人一金田	20819.050	0366.100					
徇	60 彳	2722.0	HOPA	竹人心日	20819.210	0366.110					comply with: Phonosemantic compound. 彳 represents the meaning and 旬 represents the sound. Simplified form of 狥.
很	60 彳	2723.2	HOAV	竹人日女	20822.010	0366.130	1085	very	1146	very	very: Phonosemantic compound. 彳 represents the meaning and 艮 represents the sound. Based on the original meaning "go against". The meaning later shifted to "fight", "ruthless", "extraordinary", and "very". Etymologically related to 狠.
徉	60 彳	2825.1	HOTQ	竹人廿手	20820.020	0366.140					wonder: Phonosemantic compound. 彳 represents the meaning and 羊 represents the sound.
徊	60 彳	2620.0	HOWR	竹人田口	20819.150	0366.150	1932	undecided	1996	undecided	linger: To pace 彳 back and forth 回; 回 also provides the pronunciation
律	60 彳	2520.7	HOLQ	竹人中手	20821.010	0366.170	700	law	755	law	law: Phonosemantic compound. 彳 represents the meaning and 聿 represents the sound.
後	60 彳	2224.7	HOVIE	竹人女戈水	20822.030	0366.180	1029	behind			behind: Depicts someone's foot (夂) being held back by a rope (幺), preventing them from being able to walk （彳） forward.
徍	60 彳		HOGG	竹人土土	20819.010	0367.010					
徎	60 彳		HORMG	竹人口一土	20825.080	0367.060					
徏	60 彳		HOYLH	竹人卜中竹	20825.010	0367.100					
徐	60 彳	2829.4	HOOMD	竹人人一木	20825.140	0367.110	2580	slowly	2650	slowly	slowly: Phonosemantic compound. 彳 represents the meaning and 余 represents the sound.
徑	60 彳	2121.1	HOMVM	竹人一女一	20824.070	0367.190	2341	trail			narrow path: Phonosemantic compound. 彳 represents the meaning and 巠 represents the sound.
徒	60 彳	2428.1	HOGYO	竹人土卜人	20823.030	0367.220	1931	follower	1995	follower	disciple: To walk 走 in someone's footsteps 彳
従	60 彳	2828.1	HOTYO	竹人廿卜人	20826.040	0367.271					from
徔	60 彳		HOTIO	竹人廿戈人	20822.031	0367.271					
徕	60 彳	2529	HODT	竹人木廿	20824.050	0367.271					induce
徖	60 彳	2329.1	HOJMF	竹人十一火	20831.110	0367.300					
得	60 彳	2624.1	HOAMI	竹人日一戈	20828.030	0367.310	702	must	756	must	obtain: Depicts a hand (寸) grabbing a shell (貝), used as currency in ancient China, to convey the meaning "get". Originally written as 㝵. The 彳 (movement) component was added later.
徘	60 彳	2121.1	HOLMY	竹人中一卜	20827.110	0368.040	2563	irresolute	2635	irresolute	walk back and forth: Phonosemantic compound. 彳 represents the meaning and 非 represents the sound.
徙	60 彳	2128.1	HOYLO	竹人卜中人	20827.120	0368.050					move one's abode: To step 彳 out on a long journey 歨
徚	60 彳		HODWF	竹人木田火	20832.031	0368.090					
徛	60 彳	2422.1	HOKMR	竹人大一口	20827.040	0368.140					
徜	60 彳	2922.7	HOFBR	竹人火月口	20828.020	0368.150					walking and fro: Phonosemantic compound. 彳 represents the meaning and 尚 represents the sound.
徝	60 彳		HOJBM	竹人十月一	20827.030	0368.170					
從	60 彳	2828.1	HOOOO	竹人人人人	20829.120	0368.180	1485	follow			from: Originally a pictograph of one person following another (从).  Later the 彳 and 止 components were added to indicate movement.
徟	60 彳	2722.0	HOBGR	竹人月土口	20831.040	0368.190					
徠	60 彳	2429.8	HODOO	竹人木人人	20827.060	0368.210					induce
御	60 彳	2722.0	HOOML	竹人人一中	20832.160	0368.230	2358	imperial	2427	withstand	to govern, to resist: Depicts a person (卩) using a pestle (午). 午 also represents the sound. The 辵 (walk) component was later added to emphasize action. Based on the original meaning, “to use, to control”. The meaning later shifted to “to govern”. In simplified Chinese 御 is also used to mean "to resist", while in traditional Chinese this meaning is written with a separate character 禦.
徢	60 彳		HOJLO	竹人十中人	20827.070	0369.040					
徣	60 彳		HOTA	竹人廿日	20826.120	0369.081					
徤	60 彳		HONKQ	竹人弓大手	20831.120	0369.081					
徥	60 彳	2628.1	HOAMO	竹人日一人	20832.090	0369.090					
徦	60 彳	2724.7	HORYE	竹人口卜水	20836.100	0369.120					
徧	60 彳		HOISB	竹人戈尸月	20836.090	0369.130					everywhere: Variant of 遍.
徨	60 彳	2621.4	HOHAG	竹人竹日土	20835.030	0369.170					doubtful: Phonosemantic compound. 彳 represents the meaning and 皇 represents the sound.
復	60 彳	2824.7	HOOAE	竹人人日水	20834.020	0369.220	701	recover			return: Phonosemantic compound. 彳 represents the meaning and 复 represents the sound.
循	60 彳	2226.4	HOHJU	竹人竹十山	20835.040	0369.280	1935	comply with	1998	comply with	obey
徫	60 彳	2425.6	HODMQ	竹人木一手	20836.130	0370.050					
徬	60 彳	2022.7	HOYBS	竹人卜月尸	20839.090	0370.090					to wander about
徭	60 彳	2727.2	HOBOU	竹人月人山	20839.030	0370.100					conscript labor
微	60 彳	2824.0	HOUUK	竹人山山大	20837.100	0370.120	705	tiny	760	tiny	small: Phonosemantic compound. 彳 represents the meaning and 𢼸 represents the sound. Based on the original meaning "go out and hide". The meaning later shifted to "conceal" and "tiny".
徯	60 彳	2223.4	HOBVK	竹人月女大	20839.010	0370.130					wait for
徰	60 彳		HOMMM	竹人一一一	20837.020	0370.190					
徱	60 彳		HOMWF	竹人一田火	20840.030	0370.240					
徲	60 彳	2725.3	HOSYQ	竹人尸卜手	20845.030	0370.250					
徳	60 彳	2423.6	XHOJW	難竹人十田	20839.200	0370.401					virtue
徴	60 彳	2824.0	XHOUG	難竹人山土	20840.070	0370.401					summon: To march 彳 on the king's 王 orders 攵
徵	60 彳	2824.0	HOUGK	竹人山土大	20842.070	0370.410	1933	solicit			invade: Originally written as 𱖔, which depicts a knife with tooth-shaped decorations on the back. The components 彳 (walk) and 攵 (tap) were added later to indicate movement and action. Based on the original meaning "to punish". The meaning later shifted to "invade", "to summon" and "to recruit" while its other meaning used as a musical note is a phonetic loan.
徶	60 彳	2824.0	HOFBK	竹人火月大	20842.060	0371.070					
德	60 彳	2423.6	HOJWP	竹人十田心	20841.170	0371.080	707	morality	759	morality	virtue: Originally written as 惪, depicting a straight (直) heart (心). The 彳 (walk) component was added later.
徸	60 彳		HOYTG	竹人卜廿土	20844.040	0371.090					
徹	60 彳	2824.0	HOYBK	竹人卜月大	20844.070	0371.100	1936	thorough			penetrate, thorough: Phonosemantic compound. 彳 represents the meaning and 𢾿 represents the sound.
徺	60 彳		HOGGU	竹人土土山	20841.131	0371.191					
徻	60 彳	2826.6	HOOMA	竹人人一日	20846.020	0371.210					a wide room
徼	60 彳	2824.0	HOHSK	竹人竹尸大	20845.120	0371.270					frontier
徽	60 彳	2824.0	HOUFK	竹人山火大	20849.060	0372.040					a badge
徾	60 彳	2824.0	HOURK	竹人山口大	20850.010	0372.081					
徿	60 彳	2121.1	HOYBP	竹人卜月心	20851.060	0372.130					
忀	60 彳	2023.2	HOYRV	竹人卜口女	20851.170	0372.200					to stroll
忁	60 彳	2623.2	HOAUE	竹人日山水	20851.120	0372.201					
忂	60 彳		HOBUG	竹人月山土	20851.190	0372.210					
心	61 心忄⺗	3300.0	P	心	42267.010	0375.010	529	heart	563	heart	heart: Depicts a heart.
忄	61 心忄⺗	9000	XP	難心	42267.011	0375.011					heart: 忄 is a component form of 心.
必	61 心忄⺗	3300.0	PH	心竹	42267.020	0375.020	547	certainly	583	certainly	surely: Pictograph of a weapon, now written as 柲. Similar to 戈. The current meaning is a phonetic loan.
忆	61 心忄⺗	9701	PN	心弓	42268.020	0375.031			1806	recall	remember: Phonosemantic compound. 忄 represents the meaning and 乙 represents the sound. Simplified form of 憶.
忇	61 心忄⺗		PKS	心大尸	42269.010	0375.040					
忈	61 心忄⺗		XXMMP	難難一一心	42268.030	0375.050					
忉	61 心忄⺗	9702.0	PSH	心尸竹	42268.080	0375.080					grieved
忊	61 心忄⺗		PMN	心一弓	42268.060	0375.110					
忋	61 心忄⺗		PSU	心尸山	42273.010	0375.120					
忌	61 心忄⺗	1733.1	SUP	尸山心	42270.110	0376.010	1778	shun	1795	shun	jealous: Phonosemantic compound. 心 represents the meaning and 己 represents the sound.
忍	61 心忄⺗	1733.2	SIP	尸戈心	42271.030	0376.040	531	endure	565	endure	endure: Phonosemantic compound. 心 represents the meaning and 刃 represents the sound.
忎	61 心忄⺗		HJP	竹十心	42270.040	0376.060					
忏	61 心忄⺗	9204.0	PHJ	心竹十	42272.080	0376.070					regret: Phonosemantic compound. 忄 represents the meaning and 千 represents the sound. Simplified form of 懺.
忐	61 心忄⺗	2133.1	YMP	卜一心	42270.010	0376.080					timorous: A weight on 上 the heart 心
忑	61 心忄⺗	1033.3	MYP	一卜心	42269.050	0376.090					fearful: A weight under 下 the heart 心
忒	61 心忄⺗	4330.0	IPP	戈心心	42269.070	0376.100					excessive
忓	61 心忄⺗		PMJ	心一十	42271.040	0376.110					
忔	61 心忄⺗	9801.7	PON	心人弓	42272.100	0376.130					
忕	61 心忄⺗	9403.0	PK	心大	42272.050	0376.150					
忖	61 心忄⺗	9400.0	PDI	心木戈	42272.040	0376.160					guess: Phonosemantic compound. 忄 represents the meaning and 寸 represents the sound.
志	61 心忄⺗	4033.1	GP	土心	42269.040	0376.210	533	aspiration	568	aspiration	purpose, will: Phonosemantic compound. 心 represents the meaning and 士 represents the sound. In simplified Chinese 志 is also used to mean "write down, record", while in traditional Chinese this meaning is written with a separate character 誌.
忘	61 心忄⺗	0033.1	YVP	卜女心	42270.090	0376.240	530	forget	564	forget	forget: Phonosemantic compound. 心 represents the meaning and 亡 represents the sound.
忙	61 心忄⺗	9001.0	PYV	心卜女	42272.160	0377.010	544	busy	581	busy	busy: Phonosemantic compound. 忄 represents the meaning and 亡 represents the sound.
忚	61 心忄⺗		XPPD	難心心木	42273.030	0377.050					
忛	61 心忄⺗		PHNI	心竹弓戈	42272.130	0377.071					
応	61 心忄⺗	0023.0	XXIP	難難戈心	20875.161	0377.071					should
忝	61 心忄⺗	2033.3	HKP	竹大心	42279.050	0377.080					disgraced
忞	61 心忄⺗	0033.4	YKP	卜大心	42275.010	0377.100					
忟	61 心忄⺗		PYK	心卜大	42278.050	0377.110					
忠	61 心忄⺗	5033.6	LP	中心	42273.150	0377.130	1756	loyal	1790	loyal	loyalty: Phonosemantic compound. 心 represents the meaning and 中 represents the sound.
忡	61 心忄⺗	9500.6	PL	心中	42276.100	0377.140					a sad: Phonosemantic compound. 忄 represents the meaning and 中 represents the sound.
忢	61 心忄⺗		XXXMM	難難難一一	42273.090	0377.150					
忣	61 心忄⺗	9704.7	PNHE	心弓竹水	42272.150	0377.170					
忤	61 心忄⺗	9804.0	POJ	心人十	42276.120	0377.180					insubordinate: Phonosemantic compound. 忄 represents the meaning and 午 represents the sound.
忥	61 心忄⺗	8031.7	ONP	人弓心	42273.160	0377.200					
忦	61 心忄⺗		POLL	心人中中	42277.080	0377.210					
忧	61 心忄⺗	9301	PIKU	心戈大山	42276.060	0377.220			578	worried	sad: Phonosemantic compound. 忄 represents the meaning and 尤 represents the sound. Simplified form of 憂.
忨	61 心忄⺗	9101.1	PMMU	心一一山	42275.100	0377.250					
忩	61 心忄⺗		CIP	金戈心	42274.070	0377.260					
忪	61 心忄⺗	9803.2	PCI	心金戈	42277.130	0377.270					quiet
快	61 心忄⺗	9503.0	PDK	心木大	42278.110	0377.290	1219	fast	1276	fast	rapid: Phonosemantic compound. 忄 represents the meaning and 夬 represents the sound.
忬	61 心忄⺗		XPNIN	難心弓戈弓	42279.040	0378.020					
忭	61 心忄⺗	9003.0	PYY	心卜卜	42278.040	0378.030					delighted
忮	61 心忄⺗	9404.7	PJE	心十水	42275.140	0378.060					stubborn
忯	61 心忄⺗	9204.0	PHVP	心竹女心	42277.160	0378.080					
忰	61 心忄⺗	9404.1	PKNJ	心大弓十	42277.150	0378.120					
忱	61 心忄⺗	9401.2	PLBU	心中月山	42278.080	0378.130					truth: Phonosemantic compound. 忄 represents the meaning and 冘 represents the sound.
忲	61 心忄⺗		PKI	心大戈	42276.030	0378.150					extravagant
忳	61 心忄⺗	9501.7	PPU	心心山	42276.090	0378.190					
忴	61 心忄⺗	9802.7	POIN	心人戈弓	42277.100	0378.200					
念	61 心忄⺗	8033.2	OINP	人戈弓心	42274.040	0378.210	1188	miss	1248	miss	think of, ready: Phonosemantic compound. 心 represents the meaning and 今 represents the sound.
忶	61 心忄⺗		PMMI	心一一戈	42275.120	0378.220					
忷	61 心忄⺗	9207.0	PUK	心山大	42277.110	0378.230					
忸	61 心忄⺗	9701.5	PNG	心弓土	42279.010	0378.270					blush: Phonosemantic compound. 忄 represents the meaning and 丑 represents the sound.
忹	61 心忄⺗		PMG	心一土	42275.080	0378.290					
忺	61 心忄⺗	9708.2	PNO	心弓人	42277.180	0378.300					
忻	61 心忄⺗	9202.1	PHML	心竹一中	42277.050	0378.310					delightful
忼	61 心忄⺗		PYHN	心卜竹弓	42278.060	0378.320					
忽	61 心忄⺗	2733.2	PHP	心竹心	42274.090	0378.340	816	suddenly	878	suddenly	suddenly: Phonosemantic compound. 心 represents the meaning and 勿 represents the sound.
忾	61 心忄⺗	9801	XPOMN	難心人一弓	42276.130	0379.010					anger: Phonosemantic compound. 忄 represents the meaning and 气 represents the sound.
忿	61 心忄⺗	8033.2	CSHP	金尸竹心	42274.060	0379.020					get angry: Phonosemantic compound. 心 represents the meaning and 分 represents the sound.
怀	61 心忄⺗	9109.0	PMF	心一火	42276.020	0379.050			999	cherish	bosom, embrace: Phonosemantic compound. 忄 represents the meaning and 褱 represents the sound. Simplified form of 懷.
态	61 心忄⺗	4033	KIP	大戈心	42273.110	0379.071			567	attitude	manner: Phonosemantic compound. 心 represents the meaning and 太 represents the sound. Simplified form of 態.
怂	61 心忄⺗	8833	XOOP	難人人心	42274.030	0379.071					instigate: Phonosemantic compound. 心 represents the meaning and 从 represents the sound. Simplified form of 慫.
怃	61 心忄⺗	9101	PMKU	心一大山	42275.110	0379.071					regretful
怄	61 心忄⺗	9101	PSK	心尸大	42276.050	0379.071					annoyed
怅	61 心忄⺗	9203	PPO	心心人	42277.040	0379.071					disappointed: Phonosemantic compound. 忄 represents the meaning and 长 represents the sound. Simplified form of 悵.
怆	61 心忄⺗	9801	POSU	心人尸山	42277.140	0379.071					sad: Phonosemantic compound. 忄 represents the meaning and 仓 represents the sound. Simplified form of 愴.
怇	61 心忄⺗		PSS	心尸尸	42276.070	0379.100					
怈	61 心忄⺗		PPT	心心廿	42283.080	0379.110					
怉	61 心忄⺗	9701.2	PPRU	心心口山	42287.090	0379.120					
怊	61 心忄⺗	9706.2	PSHR	心尸竹口	42288.080	0379.130					
怋	61 心忄⺗	9704.7	PRVP	心口女心	42288.020	0379.140					
怌	61 心忄⺗	9101.9	PMFM	心一火一	42284.040	0379.150					
怍	61 心忄⺗	9801.1	PHS	心竹尸	42286.060	0379.160					to be ashamed
怎	61 心忄⺗	8033.1	HSP	竹尸心	42280.100	0379.170	866	how?	938	how?	what? why? how?: Phonosemantic compound. 心 represents the meaning and 乍 represents the sound.
怏	61 心忄⺗	9503.0	PLBK	心中月大	42285.050	0380.030					discontented
怐	61 心忄⺗	9702.0	PPR	心心口	42287.060	0380.040					
怑	61 心忄⺗	9905.0	PFQ	心火手	42287.020	0380.070					
怒	61 心忄⺗	4733.4	VEP	女水心	42282.030	0380.080	1927	anger	1990	anger	anger: Phonosemantic compound. 心 represents the meaning and 奴 represents the sound.
怓	61 心忄⺗	9704.0	PVE	心女水	42288.070	0380.110					
怔	61 心忄⺗	9101.1	PMYM	心一卜一	42283.050	0380.140	1771	terror-stricken	1811	terror-stricken	a disease resembling neurosis: Phonosemantic compound. 忄 represents the meaning and 正 represents the sound.
怕	61 心忄⺗	9600.0	PHA	心竹日	42287.010	0380.160	543	dread	580	dread	to fear: Phonosemantic compound. 忄 represents the meaning and 白 represents the sound.
怖	61 心忄⺗	9402.7	PKLB	心大中月	42284.060	0380.180	1772	be scared of	1812	be scared of	terror: Phonosemantic compound. 忄 represents the meaning and 布 represents the sound.
怗	61 心忄⺗	9106.0	PYR	心卜口	42284.110	0380.190					observant
怘	61 心忄⺗		JRP	十口心	42279.070	0380.210					
怙	61 心忄⺗	9406.0	PJR	心十口	42283.090	0380.220					rely on
怚	61 心忄⺗	9701.0	PBM	心月一	42285.010	0380.250					dull
怛	61 心忄⺗	9601.0	PAM	心日一	42284.120	0380.260					grieved
怜	61 心忄⺗	9803.7	POII	心人戈戈	42287.040	0381.030			2439	pity	pity: Phonosemantic compound. 忄 represents the meaning and 令 represents the sound. Simplified form of 憐.
思	61 心忄⺗	6033.0	WP	田心	42280.040	0381.040	535	consider	569	consider	think: Thought is associated with the head (囟) and heart (心). 囟 is also a phonetic component.
怞	61 心忄⺗	9506.0	PLW	心中田	42285.040	0381.090					to grieve
怟	61 心忄⺗		PHVI	心竹女戈	42287.050	0381.140					
怠	61 心忄⺗	2333.6	IRP	戈口心	42283.010	0381.150	1868	negligent	1909	negligent	idle: Phonosemantic compound. 心 represents the meaning and 台 represents the sound.
怡	61 心忄⺗	9306.0	PIR	心戈口	42289.010	0381.160			1910	cheerful	harmony: Phonosemantic compound. 忄 represents the meaning and 台 represents the sound.
怢	61 心忄⺗	9503.0	PHQO	心竹手人	42286.050	0381.170					
怣	61 心忄⺗		HOP	竹人心	42280.090	0381.180					
怤	61 心忄⺗	2433.0	OIP	人戈心	42280.120	0381.200					
急	61 心忄⺗	2733.7	NSP	弓尸心	42281.080	0381.210	870	anxious	946	anxious	urgent: Phonosemantic compound. 心 represents the meaning and 及 represents the sound.
怦	61 心忄⺗	9104.9	PMFJ	心一火十	42284.090	0381.220					heart thumping sound: Phonosemantic compound. 忄 represents the meaning and 平 represents the sound.
性	61 心忄⺗	9501.0	PHQM	心竹手一	42286.040	0381.240	1166	sex	1223	sex	nature: Phonosemantic compound. 忄 represents the meaning and 生 represents the sound.
怨	61 心忄⺗	2733.1	NUP	弓山心	42281.070	0382.010	2385	resentment	2450	resentment	hatred: Phonosemantic compound. 心 represents the meaning and 夗 represents the sound.
怩	61 心忄⺗	9701.1	PSP	心尸心	42287.160	0382.080					shy: Phonosemantic compound. 忄 represents the meaning and 尼 represents the sound.
怪	61 心忄⺗	9701.4	PEG	心水土	42288.120	0382.100	1494	peculiar	641	peculiar	strange: Phonosemantic compound. 忄 represents the meaning and 圣 represents the sound.
怫	61 心忄⺗	9502.7	PLLN	心中中弓	42288.030	0382.130					sorry
怬	61 心忄⺗	9600.0	PWC	心田金	42286.030	0382.150					
怭	61 心忄⺗	9300.0	PPH	心心竹	42287.130	0382.160					rude
怮	61 心忄⺗	9402.7	PVIS	心女戈尸	42289.040	0382.170					
怯	61 心忄⺗	9403.1	PGI	心土戈	42283.060	0382.180					lacking in courage: Phonosemantic compound. 忄 represents the meaning and 去 represents the sound.
怰	61 心忄⺗		PYVI	心卜女戈	42287.110	0382.190					
怱	61 心忄⺗	2733.2	PKP	心大心	42281.060	0382.210					hastily
怲	61 心忄⺗	9102.7	PMOB	心一人月	42284.030	0382.220					be anxious
怳	61 心忄⺗	9601.0	PRHU	心口竹山	42285.060	0382.230					hazy mind
怴	61 心忄⺗	9305.0	PIV	心戈女	42284.100	0382.240					
怵	61 心忄⺗	9309.4	PIJC	心戈十金	42284.010	0382.250					fear
怶	61 心忄⺗		PDHE	心木竹水	42288.090	0383.010					
怷	61 心忄⺗	4333.1	ICP	戈金心	42279.090	0383.020					
怸	61 心忄⺗		IDP	戈木心	42279.080	0383.110					cns 2-2A40 is different
怹	61 心忄⺗	2433.2	ODP	人木心	42281.030	0383.111					a polite version of he
怺	61 心忄⺗	9303.2	PINE	心戈弓水	42287.131	0383.111					
总	12 八丷	8033	CRP	金口心	10249.020	0383.111			566	general	collect: Simplified form of 總.  Phonosemantic compound. 糹 represents the meaning and 悤 represents the sound. Based on the original meaning "bind together", since thread (糹) is used to put things together.
怼	61 心忄⺗	7433	EIP	水戈心	42282.050	0383.111					hate
怽	61 心忄⺗		PJD	心十木	42283.041	0383.111					
怾	61 心忄⺗		PRC	心口金	42285.051	0383.111					
怿	61 心忄⺗	9705	PEQ	心水手	42288.110	0383.111					enjoy
恀	61 心忄⺗	9702.7	PNIN	心弓戈弓	42298.040	0383.120					
恁	61 心忄⺗	2233.1	OGP	人土心	42291.030	0383.160					that
恂	61 心忄⺗	9702.0	PPA	心心日	42297.080	0383.180					careful
恃	61 心忄⺗	9404.1	PGDI	心土木戈	42293.150	0383.190					rely on: Phonosemantic compound. 忄 represents the meaning and 寺 represents the sound.
恄	61 心忄⺗	9406.1	PGR	心土口	42294.010	0383.200					
恅	61 心忄⺗	9401.1	PJKP	心十大心	42294.020	0383.240					
恆	61 心忄⺗	9101.6 9101.7	PMBM	心一月一	42294.160	0383.250	1764	permanent			constant: A constant 亙 heart 忄; 亙 also provides the pronunciation
恇	61 心忄⺗	9101.1	PSMG	心尸一土	42293.110	0383.280					fear
恈	61 心忄⺗		PIHQ	心戈竹手	42299.070	0383.290					
恉	61 心忄⺗	9106.1	PPA	心心日	42297.090	0383.310					meaning
恊	61 心忄⺗	9402.7	PKSS	心大尸尸	42299.050	0383.340					
恋	61 心忄⺗	0033.3	YCP	卜金心	42292.070	0383.360			1494	be enamored of	love: Simplified form of 戀. Phonosemantic compound. 心 represents the meaning and 䜌 represents the sound.
恌	61 心忄⺗	9201.3	PLMO	心中一人	42297.040	0383.400					to worry
恍	61 心忄⺗	9901.1	PFMU	心火一山	42295.040	0384.030	1761	all of a sudden	1808	all of a sudden	seemingly: Phonosemantic compound. 忄 represents the meaning and 光 represents the sound. Simplified form of 怳.
恎	61 心忄⺗		PMIG	心一戈土	42295.020	0384.050					
恏	61 心忄⺗		VDP	女木心	42293.100	0384.060					
恐	61 心忄⺗	1733.1	MNP	一弓心	42289.080	0384.080	539	fear	575	fear	fear: Phonosemantic compound. 心 represents the meaning and 巩 represents the sound.
恑	61 心忄⺗		PNMU	心弓一山	42297.070	0384.120					
恒	61 心忄⺗	9101.6	PMAM	心一日一	42294.050	0384.130			1798	permanent	variant of 恆|恒[héng]: A constant 亘 heart 忄; 亘 also provides the pronunciation
恓	61 心忄⺗	9106.0	PMCW	心一金田	42294.080	0384.140					vexed
恔	61 心忄⺗	9004.8	PYCK	心卜金大	42298.060	0384.150					cheerful
恕	61 心忄⺗	4633.0	VRP	女口心	42293.090	0384.170	1759	pardon	1791	pardon	forgive: Phonosemantic compound. 心 represents the meaning and 如 represents the sound.
恖	61 心忄⺗		XXHWP	難難竹田心	42292.010	0384.200					
恗	61 心忄⺗		PKMS	心大一尸	42294.120	0384.210					
恘	61 心忄⺗	9409.0	POD	心人木	42296.060	0384.220					
恙	61 心忄⺗	8033.1	TGP	廿土心	42292.100	0384.230					illness: Phonosemantic compound. 心 represents the meaning and 羊 represents the sound.
恚	61 心忄⺗	4033.1	GGP	土土心	42289.060	0384.240					anger
恛	61 心忄⺗	9600.0	PWR	心田口	42296.020	0384.260					disordered
恜	61 心忄⺗		PIPM	心戈心一	42293.120	0384.270					
恝	61 心忄⺗	5733.2	QHP	手竹心	42289.050	0384.280					carefree
恞	61 心忄⺗	9503.2	PKN	心大弓	42295.010	0384.290					
恟	61 心忄⺗	9702.0	PPUK	心心山大	42298.010	0384.300					scared
恠	61 心忄⺗	9401.4	PKLG	心大中土	42294.100	0384.310					strange: Variant of 怪 with 在 used as the phonetic component.
恡	61 心忄⺗		PKKI	心大大戈	42297.030	0384.320					stingy
恢	61 心忄⺗	9408.9	PKF	心大火	42294.130	0384.330	1763	immense	1804	immense	restore: Phonosemantic compound. 忄 represents the meaning and 灰 represents the sound.
恣	61 心忄⺗	3733.8	IOP	戈人心	42292.090	0385.020					indulge oneself: Phonosemantic compound. 心 represents the meaning and 次 represents the sound.
